correction,record_id,title,known_gold,state_changed,before_score,after_score,score_delta,before_rank,after_rank,rank_improvement,before_state,after_state
relationships,BC001-933E6016FD63,Sniper rifle,False,True,39.6,32.0,-7.600000000000001,34,42,-8,"{""rank"": 34, ""score"": 39.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 42, ""score"": 32.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-9ABAC4743433,Firearm safety system,False,True,39.6,32.0,-7.600000000000001,35,43,-8,"{""rank"": 35, ""score"": 39.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 43, ""score"": 32.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-2087999C36B0,Intelligent gun security lock,False,True,31.1,25.5,-5.600000000000001,48,72,-24,"{""rank"": 48, ""score"": 31.1, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""I"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 72, ""score"": 25.5, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""I"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-9B4F91872E65,Automatic trigger guard for firearms,False,True,30.0,14.0,-16.0,50,340,-290,"{""rank"": 50, ""score"": 30.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 340, ""score"": 14.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-D2DCD7B49B2B,"Devices, systems and methods for firearms training, simulation and operations",False,True,29.5,13.5,-16.0,52,355,-303,"{""rank"": 52, ""score"": 29.5, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""I"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 355, ""score"": 13.5, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""I"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-008F3848BF54,Firearm holster lock with fingerprint identification means,False,True,27.6,22.0,-5.600000000000001,61,90,-29,"{""rank"": 61, ""score"": 27.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 90, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-368F35E993DE,Automatic personal weapon with electronic management and caseless ammunition,False,True,27.6,22.0,-5.600000000000001,62,97,-35,"{""rank"": 62, ""score"": 27.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 97, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-3A197A3B0C40,Firearm locking system,False,True,27.6,22.0,-5.600000000000001,63,98,-35,"{""rank"": 63, ""score"": 27.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 98, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-5A5D802A6C72,Double-layer anti-explosion bullet cabinet,False,True,27.6,22.0,-5.600000000000001,64,103,-39,"{""rank"": 64, ""score"": 27.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 103, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-857A5503180B,Safety holster for preventing access to a firearm by unauthorized users,False,True,27.6,22.0,-5.600000000000001,65,112,-47,"{""rank"": 65, ""score"": 27.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 112, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-A2A50F75BB2B,System and method incorporating ai and human capabilities in a gun,True,True,27.6,22.0,-5.600000000000001,66,117,-51,"{""rank"": 66, ""score"": 27.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 117, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-A8AF9CB44A3A,Biometric Method activated Locking and Authorization Systems,False,True,27.6,22.0,-5.600000000000001,67,118,-51,"{""rank"": 67, ""score"": 27.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 118, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-ACD688880E04,Firearm safety systems,False,True,27.6,22.0,-5.600000000000001,68,120,-52,"{""rank"": 68, ""score"": 27.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 120, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-BE28DE42DE7B,Secured firearm,False,True,27.6,22.0,-5.600000000000001,69,125,-56,"{""rank"": 69, ""score"": 27.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 125, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-C75809888466,Biometric Firearms Safety System,False,True,27.6,22.0,-5.600000000000001,70,127,-57,"{""rank"": 70, ""score"": 27.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 127, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-D3083503FD85,Intelligent safety lock for gun,False,True,27.6,22.0,-5.600000000000001,71,133,-62,"{""rank"": 71, ""score"": 27.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 133, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
