Record ID,title,abstract,domain_category,domain_source,domain_excerpt,F2_status,F2_source,F2_excerpt,F2_reasoning,F3_status,F3_source,F3_excerpt,F3_reasoning,F4_status,F4_source,F4_excerpt,F4_reasoning,F5_status,F5_source,F5_excerpt,F5_reasoning,F6_status,F6_source,F6_excerpt,F6_reasoning,F7_status,F7_source,F7_excerpt,F7_reasoning,F8_status,F8_source,F8_excerpt,F8_reasoning,F2_to_F3_status,F2_to_F3_source,F2_to_F3_excerpt,F2_to_F3_reasoning,F4_to_F3_status,F4_to_F3_source,F4_to_F3_excerpt,F4_to_F3_reasoning,F5_to_F6_status,F5_to_F6_source,F5_to_F6_excerpt,F5_to_F6_reasoning,multi_primary_status,tracking_only,hard_cap,penalty_points,raw_score,final_score,predicted_relevance,explicit_primary_relationships,explicit_primary_features,rank,noise_flags,gate_evidence,penalty_evidence,domain_points,F2_points,F3_points,F4_points,F5_points,F6_points,F7_points,F8_points,F2_to_F3_points,F4_to_F3_points,F5_to_F6_points,multi_primary_points,principal_score_drivers,mechanical_inflation_or_suppression_pattern,diagnostic_explanation,duplicate_or_near_identical_observed,duplicate_observation_json,score_52_plateau,tie_resolution,arithmetic_reconciled,excerpts_verified
BC001-773578E9B424,Biometric firearm trigger lock with alarm,"This disclosure provides a trigger lock system that includes a trigger lock that collects a fingerprint and unlocks when the fingerprint matches a stored fingerprint. The trigger lock in-cludes a wireless communication module, for example, Bluetooth module and a Thread module, such that it can connect to a user device by Bluetooth or internet through a Thread router. The trigger lock may be unlocked remotely by sending a command from the user device. The trigger lock may send information of each attempt to unlock the trigger lock by fingerprint to the user device. The trigger lock may send alerts to the user device. The trigger lock also includes an alarm that produces alert when unauthorized personnel attempts to unlock the trigger lock.",attached_firing_control,title,Biometric firearm trigger lock with alarm,E,abstract,This disclosure provides a trigger lock system that includes a trigger lock that collects a fingerprint and unlocks when the fingerprint matches a stored fingerprint.,,E,abstract,This disclosure provides a trigger lock system that includes a trigger lock that collects a fingerprint and unlocks when the fingerprint matches a stored fingerprint.,,A,,,,I,abstract,This disclosure provides a trigger lock system that includes a trigger lock that collects a fingerprint and unlocks when the fingerprint matches a stored fingerprint.,Data recording or positioning is described within this firearm system; firearm data collection is inferred from that context.,A,,,,A,,,,A,,,,E,abstract,This disclosure provides a trigger lock system that includes a trigger lock that collects a fingerprint and unlocks when the fingerprint matches a stored fingerprint.,,A,,,,A,,,,3 established; 2 explicit,False,100,0,55.5,55.5,M+,1,2,11,[],{},{},8.0,12.0,16.0,0.0,3.5,0.0,0.0,0.0,14.0,0.0,0.0,2.0,domain=8.0; F2=12.0; F3=16.0; F5=3.5; F2_to_F3=14.0; multi_primary=2.0,Authentication input collection used for F5 inference,"F5 excerpt is fingerprint collection for unlocking. Later text does describe reporting each unlock attempt, but that stronger event evidence was not selected. Distinguish weak selected evidence from proven feature absence.",False,[],False,Frozen tie fields retained; no reranking,True,True
BC001-1EB69221CE7A,An intelligent fingerprint & voice operated firearm,"The present invention relates to the locking device preventing the unauthorized utilization of firearms.The invention provides the trigger locking rod operated on the biometric finger print sensor placed at the trigger or voice recognition module with microphone which can be signal conditioned by the controller board to unlock the trigger only by transmitting relevant biometric data or approved voice to the said block, said data Corresponding with biometric data and voice data digitally stored in the block memory.",firearm,title,An intelligent fingerprint & voice operated firearm,E,abstract,"The invention provides the trigger locking rod operated on the biometric finger print sensor placed at the trigger or voice recognition module with microphone which can be signal conditioned by the controller board to unlock the trigger only by transmitting relevant biometric data or approved voice to the said block, said data Corresponding with biometric data and voice data digitally stored in the block memory.",,E,abstract,"The invention provides the trigger locking rod operated on the biometric finger print sensor placed at the trigger or voice recognition module with microphone which can be signal conditioned by the controller board to unlock the trigger only by transmitting relevant biometric data or approved voice to the said block, said data Corresponding with biometric data and voice data digitally stored in the block memory.",,A,,,,A,,,,A,,,,A,,,,A,,,,E,abstract,"The invention provides the trigger locking rod operated on the biometric finger print sensor placed at the trigger or voice recognition module with microphone which can be signal conditioned by the controller board to unlock the trigger only by transmitting relevant biometric data or approved voice to the said block, said data Corresponding with biometric data and voice data digitally stored in the block memory.",,A,,,,A,,,,2 established; 2 explicit,False,100,0,52.0,52.0,M,1,2,12,[],{},{},10.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,domain=10.0; F2=12.0; F3=16.0; F2_to_F3=14.0,Supported biometric trigger control; flat score plateau,"Fingerprint/voice approval is linked to trigger unlocking. Stored biometric data is not credited as F5 here, contrasting with enrollment credit elsewhere. All substantive tie fields match ranks 12-19.",False,[],True,Record ID lexical; all earlier tie fields equal,True,True
BC001-3DD58E31397D,Gun trigger unlocked through biological fingerprint identification,"The invention discloses a gun trigger unlocked through biological fingerprint identification. The gun trigger comprises a gun trigger shell body, a gun trigger shell cover and a machine shell; a control board is mounted at the top in the gun trigger shell body through screws; a fingerprint identifying module is mounted at the top of the control plate through a limiting groove; a fingerprint setting key is mounted on one side of the bottom end of the control plate through screws; the machine shell is arranged at the bottom end of the control plate; a motor is mounted in the machine shell through a mounting base; a rotating wheel is arranged on an output shaft of the motor through a fixing piece; an elliptic limiting plate is mounted at the bottom of the machine shell through bolts; an L-shaped rack lock tongue capable of sliding is arranged in the elliptic limiting plate; the gun trigger shell cover is mounted at the bottom of the gun trigger shell body through bolts; and a return spring is connected to the top of the gun trigger shell cover through a limiting clamping groove. The gun trigger unlocked through biological fingerprint identification is simple in structure, convenient to produce, high in unlocking efficiency, high in practicability and suitable for wide popularization and application.",firearm,title,Gun trigger unlocked through biological fingerprint identification,E,title,Gun trigger unlocked through biological fingerprint identification,,E,title,Gun trigger unlocked through biological fingerprint identification,,A,,,,A,,,,A,,,,A,,,,A,,,,E,title,Gun trigger unlocked through biological fingerprint identification,,A,,,,A,,,,2 established; 2 explicit,False,100,0,52.0,52.0,M,1,2,13,[],{},{},10.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,domain=10.0; F2=12.0; F3=16.0; F2_to_F3=14.0,Full causal credit from translated title; near-identical content,"Title says trigger unlocked through fingerprint identification, with mostly mechanical details in the abstract. Near-identical mechanism and wording to rank 15; within score-52 ID tie.",True,"[{""other_rank"": 15, ""other_record_id"": ""BC001-6197DE78098F"", ""kind"": ""near-identical title/abstract (manual review supports shared mechanism/wording)"", ""character_similarity"": 0.844104}]",True,Record ID lexical; all earlier tie fields equal,True,True
BC001-5946DA63E67B,Weapon with safety system,"Weapon with a security system, characterized in that it comprises an identification device for the user carrying the weapon, connected to a control module that controls a trigger locking system (2) of the weapon, configured to unlock the weapon if the user is correctly identified, or to block the trigger (2) if the user is not correctly identified, where the user identification device comprises a fingerprint reader (1) and the locking system is formed by a pin moved by a motor, configured so that the pin (3) is inserted through a through hole (4) made in the trigger (2) blocking its movement, the motor being powered by a battery.",firearm,title,Weapon with safety system,E,abstract,"Weapon with a security system, characterized in that it comprises an identification device for the user carrying the weapon, connected to a control module that controls a trigger locking system (2) of the weapon, configured to unlock the weapon if the user is correctly identified, or to block the trigger (2) if the user is not correctly identified, where the user identification device comprises a fingerprint reader (1) and the locking system is formed by a pin moved by a motor, configured so that the pin (3) is inserted through a through hole (4) made in the trigger (2) blocking its movement, the motor being powered by a battery.",,E,abstract,"Weapon with a security system, characterized in that it comprises an identification device for the user carrying the weapon, connected to a control module that controls a trigger locking system (2) of the weapon, configured to unlock the weapon if the user is correctly identified, or to block the trigger (2) if the user is not correctly identified, where the user identification device comprises a fingerprint reader (1) and the locking system is formed by a pin moved by a motor, configured so that the pin (3) is inserted through a through hole (4) made in the trigger (2) blocking its movement, the motor being powered by a battery.",,A,,,,A,,,,A,,,,A,,,,A,,,,E,abstract,"Weapon with a security system, characterized in that it comprises an identification device for the user carrying the weapon, connected to a control module that controls a trigger locking system (2) of the weapon, configured to unlock the weapon if the user is correctly identified, or to block the trigger (2) if the user is not correctly identified, where the user identification device comprises a fingerprint reader (1) and the locking system is formed by a pin moved by a motor, configured so that the pin (3) is inserted through a through hole (4) made in the trigger (2) blocking its movement, the motor being powered by a battery.",,A,,,,A,,,,2 established; 2 explicit,False,100,0,52.0,52.0,M,1,2,14,[],{},{},10.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,domain=10.0; F2=12.0; F3=16.0; F2_to_F3=14.0,Supported biometric trigger control; flat score plateau,A fingerprint reader identifies the user and a pin blocks trigger movement when identification fails. No specific inflation established from this excerpt; within score-52 ID tie.,False,[],True,Record ID lexical; all earlier tie fields equal,True,True
BC001-6197DE78098F,Biological fingerprint identification unlocking gun trigger,"The utility model discloses a trigger for unlocking a gun through biological fingerprint identification. The gun trigger comprises a gun trigger shell, a gun trigger shell cover and a machine shell. Acontrol panel is mounted at the top in the gun trigger shell through screws; a fingerprint identification module is mounted at the top of the control panel through a limiting groove; a fingerprint setting key is mounted on one side of the bottom end of the control panel through a screw; a machine shell is arranged at the bottom end of the control panel. A motor is installed in the machine shell through an installation base. An output shaft of the motor is provided with a rotating wheel through a fixing piece; an oval limiting plate is installed at the bottom of the machine shell through bolts, a slidable L-shaped rack spring bolt is arranged in the oval limiting plate, a gun trigger shell cover is installed at the bottom of the gun trigger shell through bolts, and a reset spring is connected to the top of the gun trigger shell cover through a limiting clamping groove. The biological fingerprint recognition unlocking gun trigger is simple in structure, convenient to produce, high in unlocking efficiency, high in practicability and suitable for wide application and popularization.",firearm,title,Biological fingerprint identification unlocking gun trigger,E,title,Biological fingerprint identification unlocking gun trigger,,E,abstract,The utility model discloses a trigger for unlocking a gun through biological fingerprint identification.,,A,,,,A,,,,A,,,,A,,,,A,,,,E,abstract,The utility model discloses a trigger for unlocking a gun through biological fingerprint identification.,,A,,,,A,,,,2 established; 2 explicit,False,100,0,52.0,52.0,M,1,2,15,[],{},{},10.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,domain=10.0; F2=12.0; F3=16.0; F2_to_F3=14.0,Full causal credit from translated opening; near-identical content,"Opening sentence describes fingerprint unlocking, followed by mechanical construction closely paralleling rank 13. Within score-52 ID tie; no inferred family equivalence.",True,"[{""other_rank"": 13, ""other_record_id"": ""BC001-3DD58E31397D"", ""kind"": ""near-identical title/abstract (manual review supports shared mechanism/wording)"", ""character_similarity"": 0.844104}]",True,Record ID lexical; all earlier tie fields equal,True,True
BC001-7A2C56F84041,Fingerprint recognition safety systems,"A universal fingerprint recognition system for firearms that greatly reduces misuse and accidental discharge of a firearm. The fingerprint recognition assembly is completely embedded within the firearm to prevent tampering. A chip embedded in the trigger scans the firearm owner's fingerprint, and when recognized releases a safety pin, allowing the trigger to be pulled. A charging port embedded in the firearm's grip allows a USB-type connector to be attached and charge the battery chip in the CPU.",firearm,abstract,A universal fingerprint recognition system for firearms that greatly reduces misuse and accidental discharge of a firearm.,E,title,Fingerprint recognition safety systems,,E,abstract,"A chip embedded in the trigger scans the firearm owner's fingerprint, and when recognized releases a safety pin, allowing the trigger to be pulled.",,A,,,,A,,,,A,,,,A,,,,A,,,,E,abstract,"A chip embedded in the trigger scans the firearm owner's fingerprint, and when recognized releases a safety pin, allowing the trigger to be pulled.",,A,,,,A,,,,2 established; 2 explicit,False,100,0,52.0,52.0,M,1,2,16,[],{},{},10.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,domain=10.0; F2=12.0; F3=16.0; F2_to_F3=14.0,Supported biometric trigger control; flat score plateau,Recognizing the firearm owner fingerprint releases a safety pin to permit trigger pull. No specific inflation established; within score-52 ID tie.,False,[],True,Record ID lexical; all earlier tie fields equal,True,True
BC001-A01F02870DCB,Multi-mode recognition intelligent gun cabinet,"The utility model discloses a multi-mode recognition intelligent gun cabinet which comprises a gun cabinet body, the top of the gun cabinet body is connected with a fixing box through bolts, the top of the fixing box is connected with an alarm through bolts, and the top of the alarm is connected with an alarm lamp through bolts. The bottom of an inner cavity of the fixing box is connected with a fire extinguishing mechanism through bolts, and the right side of the bottom of the inner cavity of the fixing box is connected with a processor through bolts. Through cooperative use of the box door, the face recognition cabinet lock, the mechanical lock, the fingerprint coded lock, the intelligent coded cabinet lock, the alarm lamp, the alarm, the fixed box, the cabinet base body, the vibration sensor, the smoke sensor, the annular pipe, the dry powder extinguisher bottle, the electromagnetic valve, the nozzle, the connecting air pipe, the processor and the metal cabinet shell, the multi-mode recognition function is achieved; and the cabinet door can be opened in different unlocking modes, the automatic fire extinguishing function is achieved, and fire extinguishing can be conducted on the periphery of the gun cabinet in time.",firearm,title,Multi-mode recognition intelligent gun cabinet,E,abstract,"Through cooperative use of the box door, the face recognition cabinet lock, the mechanical lock, the fingerprint coded lock, the intelligent coded cabinet lock, the alarm lamp, the alarm, the fixed box, the cabinet base body, the vibration sensor, the smoke sensor, the annular pipe, the dry powder extinguisher bottle, the electromagnetic valve, the nozzle, the connecting air pipe, the processor and the metal cabinet shell, the multi-mode recognition function is achieved; and the cabinet door can be opened in different unlocking modes, the automatic fire extinguishing function is achieved, and fire extinguishing can be conducted on the periphery of the gun cabinet in time.",,E,abstract,"Through cooperative use of the box door, the face recognition cabinet lock, the mechanical lock, the fingerprint coded lock, the intelligent coded cabinet lock, the alarm lamp, the alarm, the fixed box, the cabinet base body, the vibration sensor, the smoke sensor, the annular pipe, the dry powder extinguisher bottle, the electromagnetic valve, the nozzle, the connecting air pipe, the processor and the metal cabinet shell, the multi-mode recognition function is achieved; and the cabinet door can be opened in different unlocking modes, the automatic fire extinguishing function is achieved, and fire extinguishing can be conducted on the periphery of the gun cabinet in time.",,A,,,,A,,,,A,,,,A,,,,A,,,,E,abstract,"Through cooperative use of the box door, the face recognition cabinet lock, the mechanical lock, the fingerprint coded lock, the intelligent coded cabinet lock, the alarm lamp, the alarm, the fixed box, the cabinet base body, the vibration sensor, the smoke sensor, the annular pipe, the dry powder extinguisher bottle, the electromagnetic valve, the nozzle, the connecting air pipe, the processor and the metal cabinet shell, the multi-mode recognition function is achieved; and the cabinet door can be opened in different unlocking modes, the automatic fire extinguishing function is achieved, and fire extinguishing can be conducted on the periphery of the gun cabinet in time.",,A,,,,A,,,,2 established; 2 explicit,False,100,0,52.0,52.0,M,1,2,17,[],{},{},10.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,domain=10.0; F2=12.0; F3=16.0; F2_to_F3=14.0,Cabinet access and fire-extinguishing falsely treated as firing control,"Cabinet door authentication is conflated with firearm operability. The firing regex matches fire in fire extinguishing, disabling storage gating; a long list supplies biometric/auth/lock/causal terms. Domain=10, F3=16 and F2_to_F3=14; cap remains 100.",False,[],True,Record ID lexical; all earlier tie fields equal,True,True
BC001-C047EC90B27A,Firearm with fingerprint recognition and electronic-control percussion function,"The invention discloses a firearm with fingerprint recognition and electronic-control percussion functions. The firearm has the advantages that a fingerprint recognition device is arranged on the front surface of a trigger of the firearm, bullets can be percussed under electronic control of the firearm, fingerprints of a firearm holder are read by the fingerprint recognition device on the front surface of the trigger when the firearm holder pulls the trigger, a control circuit can be connected with an electronic-control coil if the firearm holder is authorized to use the firearm, accordingly, the bullets can be impacted by a firing pin of an armature and can be discharged under the electronic control of the firearm, and problems of unauthorized use of existing firearms and accidental discharge of the existing firearms can be solved.",firearm,title,Firearm with fingerprint recognition and electronic-control percussion function,E,title,Firearm with fingerprint recognition and electronic-control percussion function,,E,abstract,"The firearm has the advantages that a fingerprint recognition device is arranged on the front surface of a trigger of the firearm, bullets can be percussed under electronic control of the firearm, fingerprints of a firearm holder are read by the fingerprint recognition device on the front surface of the trigger when the firearm holder pulls the trigger, a control circuit can be connected with an electronic-control coil if the firearm holder is authorized to use the firearm, accordingly, the bullets can be impacted by a firing pin of an armature and can be discharged under the electronic control of the firearm, and problems of unauthorized use of existing firearms and accidental discharge of the existing firearms can be solved.",,A,,,,A,,,,A,,,,A,,,,A,,,,E,abstract,"The firearm has the advantages that a fingerprint recognition device is arranged on the front surface of a trigger of the firearm, bullets can be percussed under electronic control of the firearm, fingerprints of a firearm holder are read by the fingerprint recognition device on the front surface of the trigger when the firearm holder pulls the trigger, a control circuit can be connected with an electronic-control coil if the firearm holder is authorized to use the firearm, accordingly, the bullets can be impacted by a firing pin of an armature and can be discharged under the electronic control of the firearm, and problems of unauthorized use of existing firearms and accidental discharge of the existing firearms can be solved.",,A,,,,A,,,,2 established; 2 explicit,False,100,0,52.0,52.0,M,1,2,18,[],{},{},10.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,domain=10.0; F2=12.0; F3=16.0; F2_to_F3=14.0,Supported biometric trigger control; flat score plateau,Authorized fingerprint recognition connects the control circuit and permits firing-pin discharge. No specific inflation established; within score-52 ID tie.,False,[],True,Record ID lexical; all earlier tie fields equal,True,True
BC001-DA1021F1705A,Gun trigger locking fingerprint lock and control method,"The invention belongs to the technical field of firearm safety devices, in particular to a gun trigger locking fingerprint lock and a control method thereof, the fingerprint lock comprises an upper lock body, a lower lock body, a fingerprint identification module, a motor driving mechanism, a locking mechanism, a mechanical key unlocking mechanism and a control circuit, wherein the upper lock body and the lower lock body can be separated from each other. The invention ensures physical safety through the mechanical engagement structure of the ratchet wheel-lock cylinder, ensures the reliability of action through the transmission mode of the cam-push rod, combines the control logic of the delayed automatic reset, realizes the intelligent control of the one-touch instant opening and the automatic reset, simultaneously reserves an extremely simple mechanical emergency unlocking means and perfectly balances convenience and safety.",firearm,title,Gun trigger locking fingerprint lock and control method,E,abstract,"The invention belongs to the technical field of firearm safety devices, in particular to a gun trigger locking fingerprint lock and a control method thereof, the fingerprint lock comprises an upper lock body, a lower lock body, a fingerprint identification module, a motor driving mechanism, a locking mechanism, a mechanical key unlocking mechanism and a control circuit, wherein the upper lock body and the lower lock body can be separated from each other.",,E,abstract,"The invention belongs to the technical field of firearm safety devices, in particular to a gun trigger locking fingerprint lock and a control method thereof, the fingerprint lock comprises an upper lock body, a lower lock body, a fingerprint identification module, a motor driving mechanism, a locking mechanism, a mechanical key unlocking mechanism and a control circuit, wherein the upper lock body and the lower lock body can be separated from each other.",,A,,,,A,,,,A,,,,A,,,,A,,,,E,abstract,"The invention belongs to the technical field of firearm safety devices, in particular to a gun trigger locking fingerprint lock and a control method thereof, the fingerprint lock comprises an upper lock body, a lower lock body, a fingerprint identification module, a motor driving mechanism, a locking mechanism, a mechanical key unlocking mechanism and a control circuit, wherein the upper lock body and the lower lock body can be separated from each other.",,A,,,,A,,,,2 established; 2 explicit,False,100,0,52.0,52.0,M,1,2,19,[],{},{},10.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,domain=10.0; F2=12.0; F3=16.0; F2_to_F3=14.0,Component-list co-occurrence given explicit causal credit,"The selected excerpt lists fingerprint identification, locking, control method and a trigger-lock title. Full F2_to_F3 credit is stronger than the explicit causal explanation in that excerpt; control itself satisfies the causal keyword pattern. Within score-52 ID tie.",False,[],True,Record ID lexical; all earlier tie fields equal,True,True
BC001-2CA9E9E96AE1,Biometric trigger lock,"A biometric trigger lock to be removably installed on a pistol, the biometric trigger lock including a first body, including a biometric sensor disposed on a surface of the first body, and a latching mechanism disposed within the first body and electrically connected to the biometric sensor to move from a latched position to an unlatched position in response to a finger of an authorized user touching the biometric sensor, and a second body, including a pin extending from a side portion of the second body and including a latching tip to detachably connect to the latching mechanism.",attached_firing_control,title,Biometric trigger lock,E,abstract,"A biometric trigger lock to be removably installed on a pistol, the biometric trigger lock including a first body, including a biometric sensor disposed on a surface of the first body, and a latching mechanism disposed within the first body and electrically connected to the biometric sensor to move from a latched position to an unlatched position in response to a finger of an authorized user touching the biometric sensor, and a second body, including a pin extending from a side portion of the second body and including a latching tip to detachably connect to the latching mechanism.",,E,abstract,"A biometric trigger lock to be removably installed on a pistol, the biometric trigger lock including a first body, including a biometric sensor disposed on a surface of the first body, and a latching mechanism disposed within the first body and electrically connected to the biometric sensor to move from a latched position to an unlatched position in response to a finger of an authorized user touching the biometric sensor, and a second body, including a pin extending from a side portion of the second body and including a latching tip to detachably connect to the latching mechanism.",,A,,,,A,,,,A,,,,A,,,,A,,,,E,abstract,"A biometric trigger lock to be removably installed on a pistol, the biometric trigger lock including a first body, including a biometric sensor disposed on a surface of the first body, and a latching mechanism disposed within the first body and electrically connected to the biometric sensor to move from a latched position to an unlatched position in response to a finger of an authorized user touching the biometric sensor, and a second body, including a pin extending from a side portion of the second body and including a latching tip to detachably connect to the latching mechanism.",,A,,,,A,,,,2 established; 2 explicit,False,100,0,50.0,50.0,M,1,2,20,[],{},{},8.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,domain=8.0; F2=12.0; F3=16.0; F2_to_F3=14.0,Direct attached trigger lock with supported authorization response,A sensor moves the latch in response to an authorized user touching it. Domain attachment credit of 8 is differentiated from 10-point integrated firearm records; no specific inflation established.,False,[],False,Frozen tie fields retained; no reranking,True,True
